latitude,longitude,county,municipality,date
24.41,120.8,苗栗縣,銅鑼鄉,2024/12/27
24.58,120.73,苗栗縣,後龍鎮,2024/12/26
24.5,120.74,苗栗縣,通霄鎮,2024/12/26
24.58,120.73,苗栗縣,後龍鎮,2024/12/25
24.55,120.79,苗栗縣,苗栗市,2024/12/24
24.51,120.7,苗栗縣,通霄鎮,2024/12/24
24.58,120.73,苗栗縣,後龍鎮,2024/12/23
24.6,120.74,苗栗縣,後龍鎮,2024/12/22
24.6,120.74,苗栗縣,後龍鎮,2024/12/21
24.43,120.72,苗栗縣,通霄鎮,2024/12/21
24.58,120.73,苗栗縣,後龍鎮,2024/12/21
24.5,120.75,苗栗縣,通霄鎮,2024/12/21
24.5,120.74,苗栗縣,通霄鎮,2024/12/21
24.51,120.7,苗栗縣,通霄鎮,2024/12/20
24.6,120.74,苗栗縣,後龍鎮,2024/12/20
24.58,120.73,苗栗縣,後龍鎮,2024/12/19
24.58,120.73,苗栗縣,後龍鎮,2024/12/18
24.5,120.75,苗栗縣,通霄鎮,2024/12/17
24.43,120.73,苗栗縣,通霄鎮,2024/12/16
24.41,120.8,苗栗縣,銅鑼鄉,2024/12/16
24.58,120.73,苗栗縣,後龍鎮,2024/12/15
24.53,120.78,苗栗縣,西湖鄉,2024/12/14
24.51,120.7,苗栗縣,通霄鎮,2024/12/13
24.41,120.8,苗栗縣,銅鑼鄉,2024/12/13
24.5,120.74,苗栗縣,通霄鎮,2024/12/10
24.5,120.75,苗栗縣,通霄鎮,2024/12/10
24.5,120.75,苗栗縣,通霄鎮,2024/12/9
24.5,120.74,苗栗縣,通霄鎮,2024/12/9
24.5,120.75,苗栗縣,通霄鎮,2024/12/7
24.43,120.73,苗栗縣,通霄鎮,2024/12/5
24.56,120.77,苗栗縣,苗栗市,2024/12/5
24.52,120.76,苗栗縣,西湖鄉,2024/12/3
24.57,120.75,苗栗縣,西湖鄉,2024/12/2
24.53,120.77,苗栗縣,西湖鄉,2024/12/1
24.58,120.78,苗栗縣,苗栗市,2024/12/1
24.56,120.77,苗栗縣,苗栗市,2024/12/1
24.5,120.74,苗栗縣,通霄鎮,2024/11/30
24.56,120.77,苗栗縣,苗栗市,2024/11/30
24.58,120.74,苗栗縣,後龍鎮,2024/11/29
24.39,120.76,苗栗縣,三義鄉,2024/11/29
24.59,120.73,苗栗縣,後龍鎮,2024/11/29
24.5,120.75,苗栗縣,通霄鎮,2024/11/28
